name:(without .v)                   0 | N=0 | Jg=0 | Jy=0 | Jr=1 | Pg=x | Pr=x | Cg=0 | Cy=0 | Cr=1
        181017500000 | N=0 | Jg=0 | Jy=0 | Jr=1 | Pg=1 | Pr=0 | Cg=0 | Cy=0 | Cr=1
        188024500000 | N=0 | Jg=0 | Jy=0 | Jr=1 | Pg=0 | Pr=1 | Cg=0 | Cy=0 | Cr=1
        188025500000 | N=0 | Jg=0 | Jy=0 | Jr=1 | Pg=0 | Pr=1 | Cg=1 | Cy=0 | Cr=0
        201038500000 | N=0 | Jg=0 | Jy=0 | Jr=1 | Pg=0 | Pr=1 | Cg=0 | Cy=1 | Cr=0
        204042500000 | N=0 | Jg=1 | Jy=0 | Jr=0 | Pg=0 | Pr=1 | Cg=0 | Cy=0 | Cr=1
        214052500000 | N=0 | Jg=0 | Jy=1 | Jr=0 | Pg=0 | Pr=1 | Cg=0 | Cy=0 | Cr=1
        217055500000 | N=0 | Jg=0 | Jy=1 | Jr=0 | Pg=1 | Pr=0 | Cg=0 | Cy=0 | Cr=1
        217056500000 | N=0 | Jg=0 | Jy=0 | Jr=1 | Pg=1 | Pr=0 | Cg=0 | Cy=0 | Cr=1
        220000000009 | N=1 | Jg=0 | Jy=0 | Jr=1 | Pg=0 | Pr=1 | Cg=0 | Cy=1 | Cr=0
        220000000012 | N=0 | Jg=0 | Jy=0 | Jr=1 | Pg=0 | Pr=1 | Cg=0 | Cy=1 | Cr=0
        220000500000 | N=0 | Jg=0 | Jy=0 | Jr=1 | Pg=0 | Pr=1 | Cg=0 | Cy=0 | Cr=1
        220001500000 | N=0 | Jg=0 | Jy=0 | Jr=1 | Pg=0 | Pr=1 | Cg=1 | Cy=0 | Cr=0
        233014500000 | N=0 | Jg=0 | Jy=0 | Jr=1 | Pg=0 | Pr=1 | Cg=0 | Cy=1 | Cr=0
        236017500000 | N=0 | Jg=1 | Jy=0 | Jr=0 | Pg=0 | Pr=1 | Cg=0 | Cy=0 | Cr=1
        246027500000 | N=0 | Jg=0 | Jy=1 | Jr=0 | Pg=0 | Pr=1 | Cg=0 | Cy=0 | Cr=1
        249030500000 | N=0 | Jg=0 | Jy=1 | Jr=0 | Pg=1 | Pr=0 | Cg=0 | Cy=0 | Cr=1
        249031500000 | N=0 | Jg=0 | Jy=0 | Jr=1 | Pg=1 | Pr=0 | Cg=0 | Cy=0 | Cr=1
Good day...
